box_id,box_length_cm,box_width_cm,box_height_cm,material_type,thickness_mm,product_weight_kg,strength_score,strength_risk
105,53.0,32.0,17.5,recycled_kraft,3.2,2.77,26.7,High
106,20.0,26.5,28.0,heavy_duty_corrugated,6.2,4.84,89.6,Low
107,40.0,26.5,9.5,standard_corrugated,3.7,3.28,51.3,Medium
108,23.0,29.5,38.5,double_wall_corrugated,5.4,2.32,91.6,Low
109,38.0,31.5,16.5,food_grade_cardboard,3.5,3.82,29.6,High
110,43.5,32.5,19.0,recycled_kraft,2.4,2.07,18.4,High
111,35.0,21.5,31.5,double_wall_corrugated,6.5,3.59,95.8,Low
112,60.0,50.5,12.0,recycled_kraft,3.1,0.36,27.5,High
113,27.5,17.0,15.0,double_wall_corrugated,6.0,3.45,85.2,Low
114,56.0,32.5,6.5,recycled_kraft,2.7,0.89,32.4,High
115,20.5,42.0,36.5,standard_corrugated,3.8,2.63,49.0,High
116,26.0,20.5,9.0,standard_corrugated,3.2,2.48,57.0,Medium
117,43.0,23.0,28.0,double_wall_corrugated,5.9,5.15,88.9,Low
118,30.0,37.5,28.0,lightweight_cardboard,2.2,0.94,15.0,High
119,17.5,17.5,19.0,double_wall_corrugated,5.1,5.15,90.0,Low
120,35.5,15.5,19.0,corrugated,4.4,1.91,48.7,High
121,51.5,37.0,41.0,heavy_duty_corrugated,7.1,5.6,98.4,Low
122,41.0,20.0,29.5,corrugated,4.8,0.79,53.7,Medium
123,48.0,21.0,24.5,standard_corrugated,3.4,3.44,54.7,Medium
124,46.5,26.5,6.5,recycled_kraft,2.6,2.52,33.5,High
125,45.5,30.5,11.5,heavy_duty_corrugated,7.4,4.25,99.9,Low
126,43.0,19.5,12.5,food_grade_cardboard,2.7,1.78,29.7,High
127,37.0,28.5,38.0,corrugated,4.6,1.48,52.1,Medium
128,49.5,24.0,30.0,double_wall_corrugated,5.6,4.12,82.0,Low
129,30.0,27.0,27.0,standard_corrugated,3.2,2.08,57.2,Medium
130,29.5,38.5,20.0,standard_corrugated,4.4,2.09,55.7,Medium
131,15.0,21.5,22.0,corrugated,4.0,0.84,48.7,High
132,69.0,29.5,9.0,recycled_kraft,3.1,0.9,30.3,High
133,36.0,26.0,34.0,corrugated,3.6,1.37,40.4,High
134,13.5,31.5,11.5,double_wall_corrugated,5.4,2.72,81.5,Low
135,20.5,19.0,13.5,standard_corrugated,3.3,3.88,53.3,Medium
136,59.0,54.5,6.5,recycled_kraft,2.7,2.15,24.4,High
137,48.0,30.0,15.0,standard_corrugated,4.4,1.46,51.3,Medium
138,32.0,14.5,9.0,standard_corrugated,3.2,1.56,52.8,Medium
139,38.5,19.0,31.5,food_grade_cardboard,2.9,3.83,36.7,High
140,34.5,26.5,17.0,double_wall_corrugated,5.4,2.4,88.3,Low
141,31.5,14.5,6.0,standard_corrugated,4.3,1.81,59.8,Medium
142,51.5,26.0,27.5,double_wall_corrugated,5.5,6.0,80.6,Low
143,26.5,26.5,23.5,corrugated,3.9,1.78,42.5,High
144,14.0,28.0,8.5,corrugated,3.9,0.33,56.7,Medium
145,29.5,15.5,6.0,standard_corrugated,4.3,1.71,54.6,Medium
146,21.5,23.0,5.5,lightweight_cardboard,1.6,0.72,15.0,High
147,18.5,18.0,6.5,standard_corrugated,4.1,2.2,58.9,Medium
148,15.5,25.5,29.5,double_wall_corrugated,5.3,4.39,86.2,Low
149,31.5,48.0,15.0,recycled_kraft,2.8,2.44,28.9,High
150,52.0,21.5,32.0,heavy_duty_corrugated,6.2,4.29,100.0,Low
151,15.0,19.0,30.0,standard_corrugated,4.4,1.16,54.2,Medium
152,44.5,15.0,20.5,food_grade_cardboard,2.8,1.72,36.7,High
153,36.0,16.5,30.5,double_wall_corrugated,6.7,3.33,91.6,Low
154,14.0,20.5,14.5,corrugated,3.7,0.68,50.2,Medium
155,62.5,35.0,25.5,double_wall_corrugated,5.3,3.48,88.7,Low
156,25.5,21.0,8.5,lightweight_cardboard,2.4,0.97,15.0,High
157,32.0,30.5,37.5,double_wall_corrugated,5.8,2.57,88.3,Low
158,19.0,23.0,37.5,standard_corrugated,4.3,0.97,59.9,Medium
159,40.5,37.5,20.0,heavy_duty_corrugated,7.4,6.64,96.7,Low
160,48.0,21.0,39.5,standard_corrugated,3.2,2.78,44.6,High
161,59.0,32.5,39.0,double_wall_corrugated,6.6,4.93,84.0,Low
162,30.5,21.0,6.0,standard_corrugated,3.7,1.7,45.4,High
163,35.5,36.5,25.5,double_wall_corrugated,5.3,5.15,91.2,Low
164,35.5,36.0,28.5,double_wall_corrugated,6.4,3.97,84.3,Low
165,30.5,28.5,9.5,standard_corrugated,3.3,1.12,50.5,Medium
166,41.0,27.5,27.0,heavy_duty_corrugated,7.0,4.28,95.8,Low
167,36.5,51.0,7.5,recycled_kraft,2.7,3.51,28.2,High
168,20.5,47.5,33.0,double_wall_corrugated,5.9,3.91,89.7,Low
169,32.5,28.0,17.5,recycled_kraft,2.3,2.94,28.1,High
170,27.5,34.5,17.5,double_wall_corrugated,6.0,2.39,86.1,Low
171,12.0,42.5,7.0,double_wall_corrugated,6.6,4.94,88.4,Low
172,27.0,37.5,14.0,double_wall_corrugated,5.6,2.35,87.8,Low
173,40.5,32.0,17.0,heavy_duty_corrugated,5.9,5.77,90.2,Low
174,48.0,20.5,13.5,standard_corrugated,3.8,2.21,59.2,Medium
175,31.0,15.0,10.5,standard_corrugated,4.2,2.24,56.9,Medium
176,50.5,54.5,16.0,recycled_kraft,2.9,2.77,29.3,High
177,22.0,20.5,5.5,standard_corrugated,3.6,1.57,55.2,Medium
178,33.5,32.0,21.0,double_wall_corrugated,5.7,6.45,89.5,Low
179,45.0,44.0,13.5,recycled_kraft,2.6,1.52,26.8,High
180,32.5,23.0,34.0,double_wall_corrugated,6.0,3.13,82.3,Low
181,31.5,15.0,6.0,standard_corrugated,3.8,2.52,54.0,Medium
182,46.0,15.5,24.5,food_grade_cardboard,3.1,2.45,31.3,High
183,54.0,28.5,16.0,recycled_kraft,3.3,1.3,27.7,High
184,33.0,29.0,8.5,heavy_duty_corrugated,6.9,4.78,99.3,Low
185,30.5,50.0,42.0,double_wall_corrugated,5.3,5.33,86.9,Low
186,33.0,20.0,6.0,lightweight_cardboard,2.1,0.94,15.0,High
187,39.0,23.0,35.0,corrugated,3.9,1.01,48.6,High
188,50.5,48.0,10.0,recycled_kraft,2.5,3.71,32.0,High
189,34.5,19.5,20.0,food_grade_cardboard,3.8,1.88,38.8,High
190,43.0,17.0,28.0,corrugated,4.7,1.92,62.3,Medium
191,34.0,23.0,9.5,standard_corrugated,4.0,1.33,57.1,Medium
192,41.5,24.5,25.0,food_grade_cardboard,3.9,0.95,30.8,High
193,21.5,26.0,25.0,double_wall_corrugated,5.5,4.07,88.1,Low
194,67.0,49.5,11.5,heavy_duty_corrugated,6.1,4.27,93.9,Low
195,23.0,29.0,18.0,corrugated,3.6,1.44,52.4,Medium
196,25.5,25.5,9.0,standard_corrugated,3.5,1.8,54.7,Medium
197,30.0,19.5,12.0,standard_corrugated,3.9,3.29,52.1,Medium
198,30.5,39.0,15.0,food_grade_cardboard,3.4,2.42,30.4,High
199,25.0,14.0,5.5,lightweight_cardboard,2.3,0.95,15.0,High
200,25.0,19.5,17.0,double_wall_corrugated,6.1,3.91,84.6,Low
201,63.5,20.0,6.5,recycled_kraft,2.1,2.74,22.4,High
202,48.5,39.0,30.0,heavy_duty_corrugated,6.0,7.45,92.5,Low
203,33.5,22.5,35.0,corrugated,4.6,1.57,57.7,Medium
204,11.5,37.0,19.5,food_grade_cardboard,2.7,3.57,33.2,High
205,30.5,21.5,30.5,double_wall_corrugated,6.7,3.36,86.4,Low
206,32.0,55.5,14.0,recycled_kraft,3.4,3.47,31.4,High
207,18.0,36.5,36.0,double_wall_corrugated,6.8,2.09,96.8,Low
208,63.0,61.5,17.5,corrugated,3.9,2.0,43.1,High
209,21.0,25.0,10.0,standard_corrugated,4.2,2.58,54.1,Medium
210,62.0,27.0,16.0,recycled_kraft,3.0,0.32,28.5,High
211,38.0,17.0,19.0,double_wall_corrugated,6.5,2.84,87.8,Low
212,26.0,25.0,20.0,corrugated,4.4,1.96,53.4,Medium
213,23.0,19.5,31.5,corrugated,3.9,1.1,48.3,High
214,36.5,25.0,37.0,double_wall_corrugated,6.8,3.98,92.5,Low
215,21.0,20.5,10.0,lightweight_cardboard,2.2,0.5,15.0,High
216,17.5,29.5,22.5,double_wall_corrugated,5.9,3.78,85.5,Low
217,58.0,32.0,17.5,recycled_kraft,2.9,0.58,30.4,High
218,9.0,37.0,8.0,double_wall_corrugated,5.6,2.49,84.7,Low
219,30.0,39.5,17.5,corrugated,4.1,0.78,56.2,Medium
220,25.5,22.5,10.5,lightweight_cardboard,2.1,0.59,15.0,High
221,38.5,48.0,12.5,recycled_kraft,3.5,2.51,31.5,High
222,20.5,39.5,32.0,double_wall_corrugated,5.8,4.32,89.8,Low
223,15.5,19.5,38.5,lightweight_cardboard,1.9,0.51,15.0,High
224,19.5,20.0,31.0,standard_corrugated,3.6,1.06,45.4,High
225,57.0,17.5,28.0,standard_corrugated,3.7,2.21,45.2,High
226,12.5,29.0,19.5,corrugated,3.6,0.87,53.2,Medium
227,16.5,32.5,14.0,double_wall_corrugated,6.0,3.75,85.5,Low
228,44.5,36.5,17.0,standard_corrugated,4.5,2.85,65.3,Medium
229,28.0,13.5,17.0,heavy_duty_corrugated,6.8,4.08,94.0,Low
230,37.5,24.0,8.0,corrugated,4.2,0.71,52.1,Medium
231,15.5,21.0,28.0,double_wall_corrugated,6.8,2.86,98.6,Low
232,36.5,28.0,35.5,double_wall_corrugated,6.5,2.26,97.7,Low
233,27.0,21.5,9.0,standard_corrugated,3.7,0.85,62.1,Medium
234,21.0,17.5,7.5,standard_corrugated,3.5,2.02,56.0,Medium
235,19.5,22.0,20.0,corrugated,3.9,1.79,52.8,Medium
236,45.5,38.5,14.0,lightweight_cardboard,2.1,0.81,15.0,High
237,28.5,38.5,15.0,double_wall_corrugated,6.4,2.52,93.5,Low
238,29.5,17.5,10.0,corrugated,4.0,1.16,47.9,High
239,64.0,20.5,12.5,recycled_kraft,2.4,0.37,23.2,High
240,14.0,9.0,26.0,double_wall_corrugated,5.4,3.24,84.2,Low
241,41.5,33.5,6.0,recycled_kraft,2.2,1.63,25.1,High
242,40.5,27.0,31.0,corrugated,4.5,0.84,48.5,High
243,49.0,44.0,13.5,double_wall_corrugated,6.1,4.73,90.3,Low
244,27.5,20.0,9.5,lightweight_cardboard,2.0,0.44,15.0,High
245,33.5,16.0,8.5,corrugated,4.0,0.98,50.7,Medium
246,30.0,32.5,40.5,standard_corrugated,3.8,1.44,57.2,Medium
247,13.5,20.5,22.0,food_grade_cardboard,3.2,2.16,30.4,High
248,17.0,46.0,10.5,double_wall_corrugated,5.5,3.04,85.3,Low
249,22.5,19.0,18.5,standard_corrugated,3.9,1.85,50.8,Medium
250,39.5,36.0,16.0,corrugated,4.3,1.27,42.5,High
251,35.5,33.5,29.0,heavy_duty_corrugated,5.9,4.92,90.6,Low
252,38.0,31.5,16.5,food_grade_cardboard,3.5,3.82,34.6,High
253,27.5,15.0,9.0,standard_corrugated,4.3,1.51,62.2,Medium
254,37.0,31.5,20.5,standard_corrugated,3.2,0.79,52.1,Medium
255,47.0,38.5,25.5,double_wall_corrugated,6.8,4.99,86.0,Low
256,18.5,16.0,28.0,food_grade_cardboard,2.8,2.56,40.1,High
257,24.0,41.0,37.0,standard_corrugated,3.6,2.39,55.1,Medium
258,45.0,44.0,13.5,recycled_kraft,2.6,1.52,28.4,High
259,58.0,17.5,38.0,heavy_duty_corrugated,7.4,4.92,97.6,Low
260,32.5,25.5,5.5,standard_corrugated,4.3,0.58,53.5,Medium
261,19.5,21.0,33.0,double_wall_corrugated,6.1,4.25,86.5,Low
262,30.5,40.5,15.5,standard_corrugated,3.7,3.07,55.8,Medium
263,36.5,37.0,15.5,heavy_duty_corrugated,5.9,5.88,98.8,Low
264,34.0,38.0,16.0,double_wall_corrugated,5.4,2.23,91.4,Low
265,35.0,21.5,30.5,food_grade_cardboard,2.6,3.72,28.5,High
266,15.0,31.5,12.0,double_wall_corrugated,6.7,3.86,86.4,Low
267,15.0,35.5,34.5,standard_corrugated,3.3,3.17,50.0,Medium
268,21.0,30.0,6.0,standard_corrugated,3.1,1.09,43.8,High
269,22.0,19.5,26.5,heavy_duty_corrugated,6.8,4.66,97.5,Low
270,27.0,44.5,25.0,double_wall_corrugated,5.4,4.96,83.1,Low
271,38.5,17.0,12.5,heavy_duty_corrugated,7.1,4.14,96.3,Low
272,47.0,16.5,11.5,standard_corrugated,3.4,1.97,44.9,High
273,31.0,19.5,8.0,standard_corrugated,4.2,2.15,57.2,Medium
274,29.0,44.0,16.5,recycled_kraft,3.1,1.02,27.1,High
275,30.0,39.5,17.5,corrugated,4.1,0.78,44.6,High
276,17.0,36.5,10.5,standard_corrugated,3.8,3.92,40.2,High
277,59.0,25.0,15.0,recycled_kraft,2.2,3.83,23.5,High
278,49.0,33.0,15.5,standard_corrugated,4.0,3.17,59.7,Medium
279,20.5,18.0,10.0,standard_corrugated,3.9,1.0,61.4,Medium
280,31.0,43.5,19.5,recycled_kraft,2.3,0.89,23.0,High
281,50.5,36.5,15.5,standard_corrugated,3.1,1.26,46.1,High
282,65.0,33.0,15.0,recycled_kraft,2.4,0.4,26.9,High
283,20.5,20.0,7.0,lightweight_cardboard,1.9,0.92,15.0,High
284,18.0,12.0,36.0,lightweight_cardboard,2.5,0.38,15.0,High
285,52.5,41.5,21.5,standard_corrugated,3.2,1.9,50.9,Medium
286,36.0,37.5,5.0,corrugated,3.9,1.28,54.6,Medium
287,31.0,29.5,28.5,double_wall_corrugated,5.9,3.61,86.4,Low
288,18.5,37.0,18.5,double_wall_corrugated,5.6,2.76,85.6,Low
289,46.0,15.5,24.5,food_grade_cardboard,3.1,2.45,30.4,High
290,43.5,13.0,41.5,double_wall_corrugated,5.6,2.14,82.8,Low
291,53.5,25.0,7.0,recycled_kraft,2.6,2.64,26.2,High
292,40.5,27.5,35.5,double_wall_corrugated,6.4,2.85,90.4,Low
293,30.0,33.5,29.0,standard_corrugated,3.7,2.19,54.8,Medium
294,15.5,19.5,38.5,lightweight_cardboard,1.9,0.51,15.0,High
295,49.5,33.5,18.0,recycled_kraft,2.5,2.68,31.0,High
296,19.5,33.0,31.0,corrugated,4.3,1.78,48.8,High
297,19.0,13.5,10.5,standard_corrugated,3.9,1.29,54.0,Medium
298,32.0,44.0,19.5,double_wall_corrugated,5.0,6.35,78.4,Low
299,31.5,41.5,41.5,standard_corrugated,4.3,2.68,43.1,High
300,35.5,15.0,27.5,corrugated,4.4,0.67,55.0,Medium
301,15.5,34.5,13.0,double_wall_corrugated,6.8,2.56,95.7,Low
302,19.0,30.5,27.5,corrugated,4.2,0.31,49.4,High
303,60.0,56.5,19.0,corrugated,5.0,0.57,51.6,Medium
304,46.0,15.0,24.0,heavy_duty_corrugated,7.3,5.93,100.0,Low
305,33.5,39.5,8.5,double_wall_corrugated,6.2,3.94,83.0,Low
306,17.0,19.0,24.5,heavy_duty_corrugated,7.0,4.53,94.9,Low
307,40.0,23.0,9.0,recycled_kraft,3.2,1.83,33.6,High
308,14.5,33.5,18.0,double_wall_corrugated,6.5,2.46,86.3,Low
309,19.5,27.0,10.5,standard_corrugated,4.1,1.97,55.9,Medium
310,22.5,30.0,5.0,standard_corrugated,4.1,2.54,49.0,High
311,33.5,59.0,14.0,recycled_kraft,2.3,2.3,26.2,High
312,43.5,19.5,36.5,corrugated,3.8,1.15,46.8,High
313,15.5,9.5,27.0,corrugated,4.2,0.48,45.5,High
314,32.5,24.5,16.5,double_wall_corrugated,5.9,3.7,92.0,Low
315,51.0,29.0,7.0,double_wall_corrugated,5.5,3.28,83.3,Low
316,20.5,26.0,6.5,standard_corrugated,3.5,2.36,48.0,High
317,49.0,40.5,27.0,standard_corrugated,3.3,0.25,49.2,High
318,23.5,30.5,17.5,double_wall_corrugated,6.0,3.28,92.7,Low
319,66.0,32.0,9.0,recycled_kraft,2.0,3.37,19.1,High
320,22.5,40.0,17.5,standard_corrugated,3.9,2.75,53.0,Medium
321,57.5,43.5,16.0,recycled_kraft,3.0,3.7,28.5,High
322,46.0,41.5,38.5,standard_corrugated,4.5,3.01,55.8,Medium
323,16.0,38.0,18.0,food_grade_cardboard,2.8,1.66,33.9,High
324,37.5,32.0,16.0,standard_corrugated,3.5,2.33,49.3,High
325,30.5,26.0,10.0,standard_corrugated,3.9,2.72,49.9,High
326,54.0,36.5,19.5,recycled_kraft,3.1,3.57,27.7,High
327,23.5,13.5,26.0,heavy_duty_corrugated,5.7,4.11,86.7,Low
328,15.0,38.0,25.0,standard_corrugated,3.8,2.22,41.0,High
329,37.5,21.5,29.0,corrugated,4.6,1.13,53.2,Medium
330,28.5,50.0,18.5,recycled_kraft,2.3,2.51,27.9,High
331,37.5,30.0,15.0,double_wall_corrugated,6.2,3.68,79.4,Low
332,41.5,20.0,16.0,corrugated,4.1,0.84,46.0,High
333,45.0,26.0,28.0,standard_corrugated,3.3,2.1,51.5,Medium
334,23.5,22.0,8.5,standard_corrugated,3.2,2.05,58.4,Medium
335,32.5,34.0,33.0,corrugated,4.8,0.72,51.8,Medium
336,54.5,35.0,5.0,recycled_kraft,2.5,1.67,24.4,High
337,45.5,31.5,31.5,standard_corrugated,3.7,3.06,49.4,High
338,23.0,39.5,12.5,standard_corrugated,3.9,2.81,58.6,Medium
339,28.0,28.5,27.5,corrugated,4.2,0.58,47.2,High
340,30.5,30.0,14.5,double_wall_corrugated,6.4,2.53,87.4,Low
341,17.5,24.5,33.0,lightweight_cardboard,2.2,0.94,15.0,High
342,26.5,44.5,11.5,double_wall_corrugated,5.6,4.18,82.0,Low
343,61.5,47.5,7.0,recycled_kraft,2.2,0.86,25.4,High
344,26.5,15.0,11.0,standard_corrugated,3.5,1.6,58.5,Medium
345,17.0,22.5,30.0,corrugated,4.6,1.25,53.7,Medium
346,45.0,31.0,34.0,corrugated,4.8,0.65,50.1,Medium
347,20.0,26.5,10.5,standard_corrugated,3.9,2.21,52.3,Medium
348,31.5,12.0,17.0,corrugated,3.7,1.54,41.9,High
349,29.5,21.5,9.0,standard_corrugated,4.0,1.66,58.2,Medium
350,10.0,20.5,20.0,standard_corrugated,4.3,2.74,54.3,Medium
351,44.0,35.0,12.5,recycled_kraft,2.9,1.74,27.4,High
352,45.5,28.0,13.0,recycled_kraft,3.0,2.85,41.1,High
353,17.0,38.5,11.5,standard_corrugated,3.5,2.06,52.9,Medium
354,35.5,15.0,35.0,standard_corrugated,3.7,0.84,49.5,High
355,34.0,38.5,26.5,heavy_duty_corrugated,6.8,4.81,93.8,Low
356,17.5,34.0,21.0,standard_corrugated,3.5,3.5,55.1,Medium
357,48.0,46.5,14.5,heavy_duty_corrugated,7.0,4.18,97.5,Low
358,26.0,34.0,7.5,recycled_kraft,2.2,1.82,19.9,High
359,49.5,24.5,18.0,recycled_kraft,3.0,1.62,32.1,High
360,28.5,26.0,37.5,double_wall_corrugated,6.3,2.02,86.6,Low
361,18.5,20.5,6.0,standard_corrugated,3.9,1.39,61.6,Medium
362,42.0,32.0,13.5,corrugated,4.1,1.75,53.5,Medium
363,41.0,32.0,26.5,standard_corrugated,4.1,1.87,51.1,Medium
364,15.0,35.5,34.5,standard_corrugated,3.3,3.17,54.6,Medium
365,19.5,20.0,31.0,standard_corrugated,3.6,1.06,52.7,Medium
366,19.5,14.0,16.0,double_wall_corrugated,6.0,2.82,91.3,Low
367,30.5,24.5,38.0,corrugated,3.7,0.98,48.6,High
368,25.5,27.0,10.5,standard_corrugated,3.2,2.4,46.5,High
369,18.5,38.0,18.0,double_wall_corrugated,7.0,5.34,89.4,Low
370,25.5,25.5,9.0,standard_corrugated,3.5,1.8,56.1,Medium
