sustainability_id,material_type,thickness_mm,area_used_sqcm,box_volume_cm3,manufacturing_energy_kwh,transport_energy_kwh,carbon_emission_kg,sustainability_score
51,corrugated,3.8,6295.5,30961.12,0.001,0.118,0.061,79
52,double_wall_corrugated,6.2,4979.5,23408.25,0.003,0.119,0.058,77
53,double_wall_corrugated,6.4,6631.5,36423.0,0.003,0.149,0.08,56
54,standard_corrugated,4.4,2120.0,5700.0,0.001,0.102,0.049,86
55,heavy_duty_corrugated,6.4,4426.0,19123.5,0.003,0.128,0.064,71
56,food_grade_cardboard,3.5,1295.5,3018.75,0.0,0.091,0.046,87
57,standard_corrugated,3.7,1799.5,3436.12,0.0,0.112,0.06,83
58,recycled_kraft,3.1,4060.0,7937.5,0.0,0.099,0.048,91
59,standard_corrugated,3.1,2365.0,5278.0,0.0,0.111,0.053,83
60,double_wall_corrugated,6.5,6143.5,32291.88,0.004,0.135,0.073,65
61,lightweight_cardboard,2.5,2043.5,3708.75,0.0,0.117,0.059,82
62,recycled_kraft,2.4,7808.0,36967.5,0.0,0.132,0.071,73
63,recycled_kraft,2.0,6348.0,30523.5,0.0,0.114,0.054,85
64,recycled_kraft,2.5,4067.5,15990.62,0.0,0.099,0.051,92
65,lightweight_cardboard,2.1,1210.0,2700.0,0.0,0.113,0.054,81
66,double_wall_corrugated,5.4,1885.5,4890.38,0.001,0.106,0.051,87
67,double_wall_corrugated,5.6,1286.0,2040.0,0.001,0.11,0.057,80
68,standard_corrugated,3.2,5139.5,23892.75,0.001,0.114,0.059,81
69,double_wall_corrugated,5.8,3591.5,13839.38,0.002,0.109,0.058,81
70,heavy_duty_corrugated,6.2,2579.5,8116.88,0.002,0.093,0.046,88
71,standard_corrugated,4.1,1543.5,2500.88,0.0,0.117,0.058,81
72,food_grade_cardboard,3.1,3871.5,15963.75,0.001,0.122,0.06,74
73,double_wall_corrugated,6.8,6376.0,33762.5,0.004,0.151,0.085,54
74,corrugated,4.0,5764.5,28977.75,0.001,0.12,0.059,78
75,lightweight_cardboard,2.1,2557.0,8040.0,0.0,0.112,0.054,86
76,standard_corrugated,3.5,2128.5,5717.25,0.0,0.111,0.055,86
77,corrugated,4.8,2670.5,8820.0,0.001,0.103,0.053,87
78,recycled_kraft,3.1,10591.0,56644.0,0.001,0.173,0.084,58
79,double_wall_corrugated,6.5,2572.0,6037.5,0.001,0.12,0.065,72
80,recycled_kraft,2.7,9504.0,42425.5,0.001,0.159,0.077,63
81,corrugated,4.3,4501.0,19610.0,0.001,0.128,0.069,73
82,standard_corrugated,3.6,2444.0,5208.0,0.0,0.098,0.046,92
83,standard_corrugated,4.1,2216.5,5843.25,0.001,0.099,0.051,89
84,heavy_duty_corrugated,7.1,6417.0,33210.0,0.005,0.152,0.085,52
85,recycled_kraft,2.9,6885.5,21713.25,0.0,0.104,0.049,87
86,standard_corrugated,3.9,3778.0,15096.0,0.001,0.123,0.067,75
87,double_wall_corrugated,6.8,3796.5,14647.5,0.002,0.122,0.062,73
88,double_wall_corrugated,6.7,4390.5,18117.0,0.003,0.123,0.068,70
89,double_wall_corrugated,6.0,2900.0,8179.5,0.001,0.124,0.065,72
90,recycled_kraft,3.3,6162.5,19290.75,0.001,0.113,0.055,87
91,corrugated,3.9,4313.5,18338.12,0.001,0.113,0.054,82
92,double_wall_corrugated,6.8,3357.0,12136.0,0.002,0.098,0.049,87
93,standard_corrugated,4.0,1978.0,5554.5,0.0,0.104,0.049,88
94,heavy_duty_corrugated,6.2,6259.5,33585.75,0.004,0.124,0.061,71
95,standard_corrugated,4.0,1792.5,4725.0,0.0,0.1,0.047,91
96,standard_corrugated,4.1,3068.5,8705.25,0.001,0.12,0.06,82
97,standard_corrugated,4.3,2295.5,4558.12,0.001,0.118,0.062,77
98,double_wall_corrugated,5.9,5732.0,20938.5,0.003,0.11,0.054,80
99,lightweight_cardboard,1.6,4964.5,20358.75,0.0,0.116,0.055,84
100,recycled_kraft,3.0,7483.0,23052.0,0.0,0.139,0.071,70
101,recycled_kraft,2.2,3978.0,9464.0,0.0,0.095,0.045,91
102,food_grade_cardboard,3.2,2007.0,5863.0,0.0,0.093,0.044,87
103,heavy_duty_corrugated,6.1,3820.0,14000.0,0.003,0.103,0.05,84
104,heavy_duty_corrugated,6.7,5990.5,30350.25,0.004,0.134,0.075,61
105,recycled_kraft,3.2,6367.0,29680.0,0.0,0.116,0.061,81
106,heavy_duty_corrugated,6.2,3664.0,14840.0,0.003,0.131,0.066,67
107,standard_corrugated,3.7,3383.5,10070.0,0.001,0.108,0.056,81
108,double_wall_corrugated,5.4,5399.5,26122.25,0.003,0.126,0.065,72
109,food_grade_cardboard,3.5,4687.5,19750.5,0.001,0.111,0.058,74
110,recycled_kraft,2.4,5715.5,26861.25,0.0,0.126,0.065,79
111,double_wall_corrugated,6.5,5064.5,23703.75,0.003,0.13,0.069,70
112,recycled_kraft,3.1,8712.0,36360.0,0.001,0.147,0.071,69
113,double_wall_corrugated,6.0,2270.0,7012.5,0.001,0.115,0.054,82
114,recycled_kraft,2.7,4790.5,11830.0,0.0,0.114,0.057,82
115,standard_corrugated,3.8,6284.5,31426.5,0.001,0.147,0.079,64
116,standard_corrugated,3.2,1903.0,4797.0,0.0,0.115,0.058,81
117,double_wall_corrugated,5.9,5674.0,27692.0,0.003,0.138,0.075,64
118,lightweight_cardboard,2.2,6030.0,31500.0,0.0,0.114,0.062,78
119,double_wall_corrugated,5.1,1942.5,5818.75,0.001,0.09,0.043,91
120,corrugated,4.4,3038.5,10454.75,0.001,0.101,0.053,87
121,heavy_duty_corrugated,7.1,11068.0,78125.5,0.008,0.187,0.103,29
122,corrugated,4.8,5239.0,24190.0,0.001,0.121,0.066,76
123,standard_corrugated,3.4,5397.0,24696.0,0.001,0.121,0.066,75
124,recycled_kraft,2.6,3413.5,8009.62,0.0,0.12,0.062,82
125,heavy_duty_corrugated,7.4,4523.5,15959.12,0.004,0.13,0.065,66
126,food_grade_cardboard,2.7,3239.5,10481.25,0.0,0.124,0.065,72
127,corrugated,4.6,7087.0,40071.0,0.002,0.132,0.063,71
128,double_wall_corrugated,5.6,6786.0,35640.0,0.003,0.143,0.078,60
129,standard_corrugated,3.2,4698.0,21870.0,0.001,0.114,0.061,79
130,standard_corrugated,4.4,4991.5,22715.0,0.001,0.111,0.056,83
131,corrugated,4.0,2251.0,7095.0,0.001,0.097,0.05,88
132,recycled_kraft,3.1,5844.0,18319.5,0.0,0.113,0.056,86
133,corrugated,3.6,6088.0,31824.0,0.001,0.129,0.065,76
134,double_wall_corrugated,5.4,1885.5,4890.38,0.001,0.115,0.057,79
135,standard_corrugated,3.3,1845.5,5258.25,0.0,0.093,0.049,92
136,recycled_kraft,2.7,7906.5,20900.75,0.001,0.129,0.07,73
137,standard_corrugated,4.4,5220.0,21600.0,0.001,0.123,0.067,74
138,standard_corrugated,3.2,1765.0,4176.0,0.0,0.098,0.046,92
139,food_grade_cardboard,2.9,5085.5,23042.25,0.001,0.123,0.066,71
140,double_wall_corrugated,5.4,3902.5,15542.25,0.002,0.109,0.058,80
141,standard_corrugated,4.3,1465.5,2740.5,0.0,0.106,0.051,86
142,double_wall_corrugated,5.5,6940.5,36822.5,0.003,0.134,0.065,67
143,corrugated,3.9,3895.5,16502.88,0.001,0.105,0.051,84
144,corrugated,3.9,1498.0,3332.0,0.0,0.091,0.049,92
145,standard_corrugated,4.3,1454.5,2743.5,0.0,0.104,0.053,87
146,lightweight_cardboard,1.6,1478.5,2719.75,0.0,0.115,0.06,82
147,standard_corrugated,4.1,1140.5,2164.5,0.0,0.097,0.047,90
148,double_wall_corrugated,5.3,3209.5,11659.88,0.002,0.119,0.063,75
149,recycled_kraft,2.8,5409.0,22680.0,0.0,0.129,0.06,79
150,heavy_duty_corrugated,6.2,6940.0,35776.0,0.004,0.153,0.079,53
151,standard_corrugated,4.4,2610.0,8550.0,0.001,0.119,0.061,79
152,food_grade_cardboard,2.8,3774.5,13683.75,0.001,0.116,0.055,78
153,double_wall_corrugated,6.7,4390.5,18117.0,0.002,0.124,0.067,72
154,corrugated,3.7,1574.5,4161.5,0.0,0.117,0.056,83
155,double_wall_corrugated,5.3,9347.5,55781.25,0.004,0.151,0.081,55
156,lightweight_cardboard,2.4,1861.5,4551.75,0.0,0.099,0.049,86
157,double_wall_corrugated,5.8,6639.5,36600.0,0.003,0.117,0.062,74
158,standard_corrugated,4.3,4024.0,16387.5,0.001,0.128,0.061,75
159,heavy_duty_corrugated,7.4,6157.5,30375.0,0.005,0.142,0.069,62
160,standard_corrugated,3.2,7467.0,39816.0,0.001,0.123,0.067,74
161,double_wall_corrugated,6.6,10972.0,74782.5,0.007,0.179,0.091,40
162,standard_corrugated,3.7,1899.0,3843.0,0.0,0.103,0.054,89
163,double_wall_corrugated,5.3,6263.5,33041.62,0.003,0.118,0.066,70
164,double_wall_corrugated,6.4,6631.5,36423.0,0.004,0.156,0.077,57
165,standard_corrugated,3.3,2859.5,8257.88,0.0,0.099,0.048,90
166,heavy_duty_corrugated,7.0,5954.0,30442.5,0.005,0.114,0.062,69
167,recycled_kraft,2.7,5035.5,13961.25,0.0,0.117,0.063,80
168,double_wall_corrugated,5.9,6435.5,32133.75,0.003,0.142,0.078,61
169,recycled_kraft,2.3,3937.5,15925.0,0.0,0.1,0.05,92
170,double_wall_corrugated,6.0,4067.5,16603.12,0.002,0.122,0.066,70
171,double_wall_corrugated,6.6,1783.0,3570.0,0.001,0.105,0.05,87
172,double_wall_corrugated,5.6,3831.0,14175.0,0.002,0.101,0.056,80
173,heavy_duty_corrugated,5.9,5057.0,22032.0,0.003,0.11,0.062,72
174,standard_corrugated,3.8,3817.5,13284.0,0.001,0.116,0.055,81
175,standard_corrugated,4.2,1896.0,4882.5,0.0,0.098,0.048,87
176,recycled_kraft,2.9,8864.5,44036.0,0.001,0.163,0.077,63
177,standard_corrugated,3.6,1369.5,2480.5,0.0,0.112,0.054,87
178,double_wall_corrugated,5.7,4895.0,22512.0,0.002,0.14,0.076,63
179,recycled_kraft,2.6,6363.0,26730.0,0.0,0.118,0.058,81
180,double_wall_corrugated,6.0,5269.0,25415.0,0.003,0.143,0.069,64
181,standard_corrugated,3.8,1503.0,2835.0,0.0,0.101,0.049,90
182,food_grade_cardboard,3.1,4439.5,17468.5,0.001,0.112,0.061,76
183,recycled_kraft,3.3,5718.0,24624.0,0.0,0.108,0.055,84
184,heavy_duty_corrugated,6.9,2968.0,8134.5,0.002,0.094,0.048,83
185,double_wall_corrugated,5.3,9812.0,64050.0,0.005,0.174,0.086,47
186,lightweight_cardboard,2.1,1956.0,3960.0,0.0,0.103,0.055,83
187,corrugated,3.9,6134.0,31395.0,0.001,0.121,0.065,74
188,recycled_kraft,2.5,6818.0,24240.0,0.0,0.129,0.062,78
189,food_grade_cardboard,3.8,3505.5,13455.0,0.001,0.105,0.049,80
190,corrugated,4.7,4822.0,20468.0,0.001,0.123,0.058,78
191,standard_corrugated,4.0,2647.0,7429.0,0.001,0.103,0.049,87
192,food_grade_cardboard,3.9,5333.5,25418.75,0.001,0.138,0.071,66
193,double_wall_corrugated,5.5,3493.0,13975.0,0.002,0.125,0.068,73
194,heavy_duty_corrugated,6.1,9312.5,38139.75,0.006,0.137,0.073,58
195,corrugated,3.6,3206.0,12006.0,0.001,0.107,0.057,83
196,standard_corrugated,3.5,2218.5,5852.25,0.0,0.101,0.051,88
197,standard_corrugated,3.9,2358.0,7020.0,0.001,0.117,0.061,80
198,food_grade_cardboard,3.4,4464.0,17842.5,0.001,0.112,0.059,77
199,lightweight_cardboard,2.3,1129.0,1925.0,0.0,0.093,0.044,92
200,double_wall_corrugated,6.1,2488.0,8287.5,0.001,0.095,0.047,90
201,recycled_kraft,2.1,3625.5,8255.0,0.0,0.107,0.055,89
202,heavy_duty_corrugated,6.0,9033.0,56745.0,0.006,0.156,0.077,52
203,corrugated,4.6,5427.5,26381.25,0.001,0.139,0.069,70
204,food_grade_cardboard,2.7,2742.5,8297.25,0.0,0.099,0.05,81
205,double_wall_corrugated,6.7,4483.5,20000.38,0.003,0.116,0.065,72
206,recycled_kraft,3.4,6002.0,24864.0,0.0,0.136,0.068,73
207,double_wall_corrugated,6.8,5238.0,23652.0,0.003,0.136,0.074,63
208,corrugated,3.9,12106.5,67803.75,0.003,0.162,0.082,58
209,standard_corrugated,4.2,1970.0,5250.0,0.0,0.104,0.055,84
210,recycled_kraft,3.0,6196.0,26784.0,0.0,0.119,0.061,81
211,double_wall_corrugated,6.5,3382.0,12274.0,0.002,0.127,0.069,71
212,corrugated,4.4,3340.0,13000.0,0.001,0.1,0.05,89
213,corrugated,3.9,3574.5,14127.75,0.001,0.129,0.066,74
214,double_wall_corrugated,6.8,6376.0,33762.5,0.004,0.141,0.075,62
215,lightweight_cardboard,2.2,1691.0,4305.0,0.0,0.105,0.052,86
216,double_wall_corrugated,5.9,3147.5,11615.62,0.002,0.096,0.046,87
217,recycled_kraft,2.9,6862.0,32480.0,0.0,0.132,0.062,76
218,double_wall_corrugated,5.6,1402.0,2664.0,0.001,0.1,0.047,88
219,corrugated,4.1,4802.5,20737.5,0.001,0.108,0.058,83
220,lightweight_cardboard,2.1,2155.5,6024.38,0.0,0.111,0.053,85
221,recycled_kraft,3.5,5858.5,23100.0,0.0,0.141,0.067,75
222,double_wall_corrugated,5.8,5459.5,25912.0,0.003,0.128,0.069,68
223,lightweight_cardboard,1.9,3299.5,11636.62,0.0,0.119,0.058,79
224,standard_corrugated,3.6,3229.0,12090.0,0.001,0.098,0.049,86
225,standard_corrugated,3.7,6167.0,27930.0,0.001,0.125,0.06,76
226,corrugated,3.6,2343.5,7068.75,0.0,0.095,0.051,90
227,double_wall_corrugated,6.0,2444.5,7507.5,0.001,0.111,0.06,80
228,standard_corrugated,4.5,6002.5,27612.25,0.002,0.144,0.078,64
229,heavy_duty_corrugated,6.8,2167.0,6426.0,0.002,0.112,0.056,79
230,corrugated,4.2,2784.0,7200.0,0.001,0.094,0.049,89
231,double_wall_corrugated,6.8,2695.0,9114.0,0.002,0.104,0.05,84
232,double_wall_corrugated,6.5,6623.5,36281.0,0.004,0.138,0.066,64
233,standard_corrugated,3.7,2034.0,5224.5,0.0,0.102,0.047,88
234,standard_corrugated,3.5,1312.5,2756.25,0.0,0.113,0.058,82
235,corrugated,3.9,2518.0,8580.0,0.001,0.119,0.059,78
236,lightweight_cardboard,2.1,5855.5,24524.5,0.0,0.129,0.065,74
237,double_wall_corrugated,6.4,4204.5,16458.75,0.002,0.112,0.053,77
238,corrugated,4.0,1972.5,5162.5,0.0,0.097,0.048,91
239,recycled_kraft,2.4,4736.5,16400.0,0.0,0.103,0.053,87
240,double_wall_corrugated,5.4,1448.0,3276.0,0.001,0.099,0.049,90
241,recycled_kraft,2.2,3680.5,8341.5,0.0,0.106,0.055,86
242,corrugated,4.5,6372.0,33898.5,0.001,0.141,0.069,69
243,double_wall_corrugated,6.1,6823.0,29106.0,0.003,0.135,0.074,62
244,lightweight_cardboard,2.0,2002.5,5225.0,0.0,0.092,0.047,89
245,corrugated,4.0,1913.5,4556.0,0.0,0.101,0.049,91
246,standard_corrugated,3.8,7012.5,39487.5,0.001,0.126,0.062,74
247,food_grade_cardboard,3.2,2049.5,6088.5,0.0,0.095,0.049,87
248,double_wall_corrugated,5.5,2887.0,8211.0,0.001,0.119,0.064,77
249,standard_corrugated,3.9,2390.5,7908.75,0.001,0.093,0.046,92
250,corrugated,4.3,5260.0,22752.0,0.001,0.12,0.059,79
251,heavy_duty_corrugated,5.9,6380.5,34488.25,0.004,0.121,0.067,68
252,food_grade_cardboard,3.5,4687.5,19750.5,0.001,0.133,0.069,66
253,standard_corrugated,4.3,1590.0,3712.5,0.0,0.105,0.053,87
254,standard_corrugated,3.2,5139.5,23892.75,0.001,0.114,0.058,79
255,double_wall_corrugated,6.8,7979.5,46142.25,0.005,0.146,0.073,57
256,food_grade_cardboard,2.8,2524.0,8288.0,0.0,0.116,0.059,75
257,standard_corrugated,3.6,6778.0,36408.0,0.001,0.155,0.077,63
258,recycled_kraft,2.6,6363.0,26730.0,0.0,0.116,0.063,83
259,heavy_duty_corrugated,7.4,7768.0,38570.0,0.006,0.155,0.082,49
260,standard_corrugated,4.3,2295.5,4558.12,0.001,0.118,0.059,82
261,double_wall_corrugated,6.1,3492.0,13513.5,0.002,0.128,0.066,70
262,standard_corrugated,3.7,4671.5,19146.38,0.001,0.124,0.067,74
263,heavy_duty_corrugated,5.9,4979.5,20932.75,0.003,0.126,0.068,67
264,double_wall_corrugated,5.4,4888.0,20672.0,0.003,0.117,0.06,75
265,food_grade_cardboard,2.6,4951.5,22951.25,0.001,0.132,0.069,66
266,double_wall_corrugated,6.7,2061.0,5670.0,0.001,0.107,0.055,82
267,standard_corrugated,3.3,4549.5,18371.25,0.001,0.125,0.063,78
268,standard_corrugated,3.1,1872.0,3780.0,0.0,0.102,0.049,89
269,heavy_duty_corrugated,6.8,3057.5,11368.5,0.002,0.119,0.061,74
270,double_wall_corrugated,5.4,5978.0,30037.5,0.003,0.143,0.071,66
271,heavy_duty_corrugated,7.1,2696.5,8181.25,0.002,0.097,0.053,83
272,standard_corrugated,3.4,3011.5,8918.25,0.001,0.12,0.059,80
273,standard_corrugated,4.2,2017.0,4836.0,0.0,0.106,0.057,83
274,recycled_kraft,3.1,4961.0,21054.0,0.0,0.134,0.067,77
275,corrugated,4.1,4802.5,20737.5,0.001,0.118,0.061,79
276,standard_corrugated,3.8,2364.5,6515.25,0.0,0.103,0.052,86
277,recycled_kraft,2.2,5470.0,22125.0,0.0,0.137,0.065,75
278,standard_corrugated,4.0,5776.0,25063.5,0.001,0.116,0.058,82
279,standard_corrugated,3.9,1508.0,3690.0,0.0,0.114,0.054,82
280,recycled_kraft,2.3,5602.5,26295.75,0.0,0.126,0.064,81
281,standard_corrugated,3.1,6383.5,28570.38,0.001,0.129,0.065,73
282,recycled_kraft,2.4,7230.0,32175.0,0.0,0.125,0.065,79
283,lightweight_cardboard,1.9,1387.0,2870.0,0.0,0.105,0.05,86
284,lightweight_cardboard,2.5,2592.0,7776.0,0.0,0.102,0.048,88
285,standard_corrugated,3.2,8399.5,46843.12,0.001,0.127,0.064,76
286,corrugated,3.9,3435.0,6750.0,0.001,0.099,0.054,86
287,double_wall_corrugated,5.9,5277.5,26063.25,0.003,0.107,0.058,78
288,double_wall_corrugated,5.6,3422.5,12663.25,0.002,0.129,0.065,70
289,food_grade_cardboard,3.1,4439.5,17468.5,0.001,0.134,0.068,65
290,double_wall_corrugated,5.6,5820.5,23468.25,0.003,0.12,0.058,74
291,recycled_kraft,2.6,3774.0,9362.5,0.0,0.117,0.063,82
292,double_wall_corrugated,6.4,7055.5,39538.12,0.004,0.133,0.072,62
293,standard_corrugated,3.7,5693.0,29145.0,0.001,0.136,0.066,71
294,lightweight_cardboard,1.9,3299.5,11636.62,0.0,0.122,0.062,78
295,recycled_kraft,2.5,6304.5,29848.5,0.0,0.147,0.069,72
296,corrugated,4.3,4542.0,19948.5,0.001,0.116,0.063,79
297,standard_corrugated,3.9,1195.5,2693.25,0.0,0.111,0.053,84
298,double_wall_corrugated,5.0,5780.0,27456.0,0.002,0.119,0.063,72
299,standard_corrugated,4.3,8673.5,54250.88,0.002,0.177,0.087,54
300,corrugated,4.4,3842.5,14643.75,0.001,0.098,0.052,86
301,double_wall_corrugated,6.8,2369.5,6951.75,0.001,0.11,0.059,81
302,corrugated,4.2,3881.5,15936.25,0.001,0.122,0.063,79
303,corrugated,5.0,11207.0,64410.0,0.003,0.174,0.091,50
304,heavy_duty_corrugated,7.3,4308.0,16560.0,0.003,0.103,0.058,75
305,double_wall_corrugated,6.2,3887.5,11247.62,0.002,0.126,0.06,76
306,heavy_duty_corrugated,7.0,2410.0,7913.5,0.002,0.098,0.049,86
307,recycled_kraft,3.2,2974.0,8280.0,0.0,0.112,0.054,87
308,double_wall_corrugated,6.5,2699.5,8743.5,0.002,0.1,0.055,82
309,standard_corrugated,4.1,2029.5,5528.25,0.0,0.099,0.049,88
310,standard_corrugated,4.1,1875.0,3375.0,0.0,0.105,0.055,84
311,recycled_kraft,2.3,6543.0,27671.0,0.0,0.125,0.064,79
312,corrugated,3.8,6295.5,30961.12,0.001,0.118,0.057,80
313,corrugated,4.2,1644.5,3975.75,0.0,0.094,0.045,92
314,double_wall_corrugated,5.9,3473.5,13138.12,0.002,0.11,0.055,80
315,double_wall_corrugated,5.5,4078.0,10353.0,0.002,0.119,0.06,75
316,standard_corrugated,3.5,1670.5,3464.5,0.0,0.116,0.056,84
317,standard_corrugated,3.3,8802.0,53581.5,0.002,0.134,0.063,75
318,double_wall_corrugated,6.0,3323.5,12543.12,0.002,0.109,0.059,77
319,recycled_kraft,2.0,5988.0,19008.0,0.0,0.105,0.056,86
320,standard_corrugated,3.9,3987.5,15750.0,0.001,0.099,0.049,87
321,recycled_kraft,3.0,8234.5,40020.0,0.001,0.147,0.072,70
322,standard_corrugated,4.5,10555.5,73496.5,0.002,0.179,0.084,53
323,food_grade_cardboard,2.8,3160.0,10944.0,0.0,0.1,0.052,84
324,standard_corrugated,3.5,4624.0,19200.0,0.001,0.11,0.058,81
325,standard_corrugated,3.9,2716.0,7930.0,0.001,0.093,0.044,95
326,recycled_kraft,3.1,7471.5,38434.5,0.001,0.152,0.072,67
327,heavy_duty_corrugated,5.7,2558.5,8248.5,0.002,0.124,0.066,72
328,standard_corrugated,3.8,3790.0,14250.0,0.001,0.102,0.052,84
329,corrugated,4.6,5034.5,23381.25,0.001,0.113,0.054,84
330,recycled_kraft,2.3,5754.5,26362.5,0.0,0.14,0.072,72
331,double_wall_corrugated,6.2,4275.0,16875.0,0.002,0.132,0.066,71
332,corrugated,4.1,3628.0,13280.0,0.001,0.111,0.055,85
333,standard_corrugated,3.3,6316.0,32760.0,0.001,0.115,0.061,77
334,standard_corrugated,3.2,1807.5,4394.5,0.0,0.09,0.047,90
335,corrugated,4.8,6599.0,36465.0,0.002,0.14,0.07,70
336,recycled_kraft,2.5,4710.0,9537.5,0.0,0.106,0.057,85
337,standard_corrugated,3.7,7717.5,45147.38,0.002,0.125,0.063,74
338,standard_corrugated,3.9,3379.5,11356.25,0.001,0.114,0.06,80
339,corrugated,4.2,4703.5,21945.0,0.001,0.104,0.053,86
340,double_wall_corrugated,6.4,3584.5,13267.5,0.002,0.123,0.067,70
341,lightweight_cardboard,2.2,3629.5,14148.75,0.0,0.108,0.057,82
342,double_wall_corrugated,5.6,3991.5,13561.38,0.002,0.098,0.047,84
343,recycled_kraft,2.2,7368.5,20448.75,0.0,0.124,0.066,77
344,standard_corrugated,3.5,1708.0,4372.5,0.0,0.101,0.054,89
345,corrugated,4.6,3135.0,11475.0,0.001,0.127,0.067,77
346,corrugated,4.8,7958.0,47430.0,0.002,0.149,0.073,65
347,standard_corrugated,3.9,2036.5,5565.0,0.0,0.098,0.052,86
348,corrugated,3.7,2235.0,6426.0,0.0,0.113,0.06,83
349,standard_corrugated,4.0,2186.5,5708.25,0.0,0.098,0.048,90
350,standard_corrugated,4.3,1630.0,4100.0,0.0,0.117,0.063,78
351,recycled_kraft,2.9,5055.0,19250.0,0.0,0.115,0.053,88
352,recycled_kraft,3.0,4459.0,16562.0,0.0,0.118,0.056,85
353,standard_corrugated,3.5,2585.5,7526.75,0.001,0.093,0.047,93
354,standard_corrugated,3.7,4600.0,18637.5,0.001,0.116,0.059,81
355,heavy_duty_corrugated,6.8,6460.5,34688.5,0.004,0.148,0.079,54
356,standard_corrugated,3.5,3353.0,12495.0,0.001,0.123,0.057,79
357,heavy_duty_corrugated,7.0,7204.5,32364.0,0.005,0.122,0.07,64
358,recycled_kraft,2.2,2668.0,6630.0,0.0,0.098,0.045,92
