product_id,product_length,product_width,product_height,product_weight,product_category,fragility_level,box_length,box_width,box_height,material_type,material_thickness,strength_score,cost_usd,carbon_footprint_kg,material_saved_percent,shipping_efficiency,sustainability_score,recyclability_rating,production_date
63,25.26,19.24,7.66,2.64,books,medium,30.5,24.0,10.5,standard_corrugated,3.4,45.0,0.28,0.14,18.2,50.4,55.0,4,2024-02-24
64,30.02,23.54,21.47,1.13,fragile,high,38.5,31.0,28.5,corrugated,4.8,65.7,0.53,0.31,19.5,56.6,55.1,4,2024-02-01
65,33.54,17.72,29.22,5.55,fragile,medium,41.0,22.5,36.0,heavy_duty_corrugated,7.1,73.6,0.75,0.48,14.1,56.3,39.6,3,2023-07-06
66,18.22,15.66,2.23,1.69,books,low,22.0,19.0,4.5,standard_corrugated,3.2,45.0,0.2,0.11,22.4,52.1,66.0,4,2024-10-28
67,32.76,44.57,3.28,2.84,clothing,low,37.5,50.5,5.5,recycled_kraft,3.0,45.0,0.34,0.15,21.9,51.8,62.5,5,2023-09-21
68,30.17,17.41,23.73,0.53,food,medium,36.5,22.0,29.0,food_grade_cardboard,3.6,45.0,0.4,0.2,20.9,51.3,60.6,3,2023-03-28
69,19.23,12.66,6.5,2.17,books,high,24.5,16.5,9.0,double_wall_corrugated,6.4,92.0,0.3,0.18,21.0,65.5,56.1,3,2023-08-21
70,19.9,28.96,11.82,5.62,food,high,27.5,38.5,17.5,double_wall_corrugated,6.4,78.6,0.55,0.37,26.6,63.1,61.3,3,2023-11-05
71,28.79,27.2,8.24,2.33,electronics,high,36.5,34.5,11.5,double_wall_corrugated,5.3,73.7,0.51,0.31,14.7,57.1,46.2,3,2024-12-15
72,34.45,16.64,22.91,2.88,food,low,39.5,19.5,26.5,food_grade_cardboard,3.0,45.0,0.35,0.18,23.6,52.4,61.3,3,2023-05-13
73,34.65,15.65,24.05,4.75,electronics,high,44.0,20.5,31.0,double_wall_corrugated,6.7,82.2,0.74,0.46,27.5,64.3,59.6,3,2024-10-06
74,45.27,30.7,6.52,1.42,clothing,low,52.0,36.0,9.5,recycled_kraft,3.3,45.0,0.37,0.17,30.7,55.3,77.6,5,2024-04-17
75,38.28,29.09,7.27,5.8,food,high,50.5,39.0,12.0,double_wall_corrugated,5.6,72.3,0.7,0.44,15.3,56.5,47.6,3,2023-10-31
76,31.98,22.13,31.63,1.87,toys,low,36.5,26.0,36.5,standard_corrugated,3.0,45.0,0.44,0.22,17.9,50.0,49.8,4,2023-10-07
77,30.02,30.6,22.34,6.82,food,medium,37.0,37.5,28.0,heavy_duty_corrugated,7.2,75.3,0.79,0.52,22.2,59.9,56.8,3,2023-07-20
78,35.87,46.22,4.76,2.02,clothing,low,41.5,53.0,7.5,recycled_kraft,2.6,45.0,0.37,0.15,22.2,51.9,61.2,5,2024-05-05
79,20.56,22.19,7.68,2.73,books,low,25.0,27.0,11.0,standard_corrugated,3.5,48.4,0.26,0.14,22.2,53.0,55.6,4,2024-12-18
80,38.33,23.41,16.34,3.09,toys,low,45.0,28.5,20.5,standard_corrugated,3.5,45.0,0.4,0.22,25.3,53.0,62.0,4,2023-10-25
81,12.78,19.85,10.23,2.19,fragile,medium,16.5,24.5,13.5,standard_corrugated,3.6,47.6,0.25,0.13,14.1,49.5,43.8,4,2023-05-17
82,32.55,30.22,19.88,5.5,food,low,39.0,36.0,24.5,heavy_duty_corrugated,6.3,75.5,0.68,0.42,26.7,62.1,57.5,3,2024-03-23
83,18.12,13.57,22.11,1.39,electronics,high,23.5,18.0,28.5,corrugated,4.3,61.5,0.32,0.19,12.5,52.9,41.7,4,2023-07-16
84,39.29,23.01,11.45,0.54,food,high,50.0,30.5,17.0,corrugated,3.6,46.6,0.42,0.25,13.5,48.6,45.1,4,2023-04-01
85,10.36,22.95,24.39,3.18,food,medium,13.5,28.5,30.0,food_grade_cardboard,4.0,45.0,0.33,0.16,25.4,53.2,63.7,3,2024-10-10
86,21.78,39.87,25.91,2.03,toys,medium,27.0,47.5,31.5,standard_corrugated,4.4,46.8,0.56,0.32,19.9,51.0,49.9,4,2023-03-02
87,17.02,29.01,27.81,2.8,fragile,high,23.5,37.5,36.0,double_wall_corrugated,6.9,83.7,0.76,0.5,27.0,64.4,59.4,3,2023-03-13
88,27.52,31.23,7.24,2.18,clothing,low,33.0,37.5,11.0,recycled_kraft,3.3,45.0,0.32,0.14,26.1,53.5,64.4,5,2024-03-27
89,14.1,18.6,3.71,1.51,electronics,high,18.5,24.0,6.0,corrugated,4.5,62.1,0.23,0.13,15.8,54.6,50.2,4,2024-09-30
90,25.27,12.44,7.47,2.26,books,medium,32.5,17.5,12.0,standard_corrugated,3.3,45.0,0.25,0.14,21.9,51.8,56.8,4,2023-07-18
91,24.2,16.27,7.6,2.4,books,low,29.5,20.5,11.0,standard_corrugated,3.1,45.0,0.25,0.13,27.9,54.3,70.3,4,2023-10-10
92,32.22,19.41,24.68,2.85,electronics,high,40.5,25.0,31.5,double_wall_corrugated,5.2,68.4,0.66,0.41,18.0,56.5,44.2,3,2023-05-31
93,38.95,30.26,21.44,4.21,electronics,high,50.0,39.5,28.5,double_wall_corrugated,5.6,73.5,0.93,0.59,12.0,55.1,35.1,3,2023-02-09
94,5.48,7.26,18.22,2.78,electronics,high,8.5,10.5,23.5,double_wall_corrugated,6.0,91.0,0.26,0.14,13.0,62.1,50.6,3,2024-01-06
95,23.89,25.38,28.9,5.25,fragile,high,31.0,33.0,37.0,double_wall_corrugated,7.0,83.3,0.82,0.56,25.7,63.6,56.5,3,2024-04-21
96,18.2,16.05,13.24,0.78,toys,high,23.5,21.0,17.5,corrugated,4.2,51.8,0.28,0.17,19.9,53.0,55.9,4,2023-02-27
97,34.33,18.97,11.06,2.01,clothing,medium,42.0,24.0,15.0,recycled_kraft,2.8,45.0,0.32,0.12,26.8,53.9,63.5,5,2024-07-01
98,17.69,26.33,29.36,0.88,fragile,high,24.0,34.5,38.0,corrugated,4.5,53.6,0.51,0.29,25.0,55.2,62.8,4,2023-09-10
99,9.69,5.86,19.61,3.24,electronics,high,14.0,9.0,26.0,double_wall_corrugated,5.4,78.4,0.28,0.16,19.6,60.9,60.6,3,2024-12-14
100,32.58,22.35,29.61,4.2,fragile,high,42.0,29.5,38.5,double_wall_corrugated,6.9,81.9,0.98,0.64,25.7,62.9,53.7,3,2024-02-20
101,12.28,24.53,20.95,2.34,fragile,high,17.0,31.5,27.5,double_wall_corrugated,6.1,91.5,0.49,0.32,19.5,64.3,51.8,3,2023-08-27
102,34.88,35.6,33.49,1.18,toys,high,44.5,45.5,42.5,corrugated,3.9,45.0,0.77,0.41,22.8,51.4,56.9,4,2024-01-19
103,50.76,17.32,3.55,2.12,clothing,low,58.5,22.0,6.5,recycled_kraft,3.4,45.0,0.29,0.14,16.1,49.5,47.3,5,2024-02-11
104,35.34,15.68,7.28,0.53,toys,low,41.0,19.0,10.0,lightweight_cardboard,2.1,45.0,0.24,0.12,29.9,55.1,77.0,4,2023-06-17
105,13.47,22.82,13.64,1.78,fragile,high,18.5,30.0,19.0,corrugated,4.2,57.2,0.31,0.18,17.4,53.6,52.2,4,2023-04-21
106,22.88,29.46,22.04,1.63,fragile,high,29.5,37.5,28.5,corrugated,4.4,54.7,0.51,0.29,22.6,54.6,54.3,4,2024-03-07
107,31.14,21.2,4.06,0.58,clothing,low,37.0,26.0,7.0,recycled_kraft,3.1,45.0,0.27,0.11,24.8,53.1,63.4,5,2024-12-25
108,55.77,19.51,6.96,1.35,clothing,low,63.0,23.0,9.0,recycled_kraft,2.2,45.0,0.29,0.12,29.7,55.0,70.9,5,2024-11-09
109,29.07,20.35,6.45,2.17,electronics,low,33.5,24.0,9.0,standard_corrugated,4.3,48.7,0.29,0.16,25.7,54.4,63.8,4,2023-10-23
110,33.8,28.2,8.69,1.5,food,medium,41.0,34.5,12.0,food_grade_cardboard,3.9,45.0,0.38,0.2,20.6,51.1,58.8,3,2023-10-12
111,19.44,32.32,20.94,3.05,toys,low,25.0,39.5,26.5,standard_corrugated,3.9,46.4,0.43,0.24,18.6,50.6,51.6,4,2023-10-28
112,16.31,24.27,27.9,2.92,fragile,high,22.0,31.5,36.0,double_wall_corrugated,6.4,86.0,0.66,0.42,17.9,61.7,46.7,3,2024-08-25
113,28.01,15.31,4.38,0.56,books,low,34.0,20.0,8.0,lightweight_cardboard,2.4,45.0,0.22,0.11,15.2,49.2,48.8,4,2024-05-23
114,8.64,16.7,9.23,1.84,food,low,11.0,20.0,11.5,food_grade_cardboard,3.1,45.0,0.21,0.11,14.1,48.8,51.7,3,2024-06-29
115,17.0,19.22,10.81,3.63,electronics,high,23.0,26.0,15.5,double_wall_corrugated,7.0,88.9,0.45,0.26,26.9,66.6,63.2,3,2023-03-31
116,25.19,23.84,19.91,3.09,food,low,30.5,29.0,24.5,food_grade_cardboard,3.5,45.0,0.41,0.18,26.1,53.4,60.7,3,2024-05-14
117,16.81,31.99,16.37,1.64,electronics,high,22.5,41.0,22.0,corrugated,4.1,48.8,0.39,0.22,20.0,52.0,54.3,4,2024-06-10
118,34.23,15.59,8.05,0.61,toys,low,40.5,20.0,11.5,lightweight_cardboard,2.2,45.0,0.25,0.12,18.5,50.5,53.1,4,2024-08-04
119,35.23,10.37,21.12,0.58,food,high,45.0,15.5,28.5,corrugated,4.3,58.9,0.44,0.25,16.1,53.4,53.2,4,2024-12-29
120,23.11,18.21,29.65,0.98,fragile,high,30.5,24.5,38.0,corrugated,3.7,45.0,0.44,0.24,26.5,53.4,64.7,4,2023-03-12
121,37.36,8.14,24.5,3.13,food,medium,46.5,12.0,31.5,food_grade_cardboard,3.7,45.0,0.39,0.21,20.3,51.0,53.6,3,2024-10-03
122,47.18,25.82,22.15,1.65,toys,medium,57.5,33.0,28.5,standard_corrugated,3.8,45.0,0.61,0.31,24.9,52.5,66.0,4,2023-12-20
123,48.72,30.75,10.99,3.34,toys,medium,59.5,38.5,15.0,standard_corrugated,4.2,46.3,0.56,0.32,20.1,51.0,51.2,4,2024-10-02
124,26.37,13.66,15.79,1.0,electronics,high,34.5,19.5,22.0,corrugated,3.7,50.4,0.35,0.19,21.8,53.3,61.5,4,2024-09-24
125,24.85,17.38,19.09,2.91,fragile,high,33.0,24.0,26.0,double_wall_corrugated,6.1,87.8,0.56,0.36,21.8,64.0,57.0,3,2023-07-01
126,32.89,43.35,6.06,2.65,clothing,medium,40.0,52.0,9.0,recycled_kraft,3.1,45.0,0.37,0.15,17.3,50.0,52.6,5,2023-05-05
127,21.83,22.12,25.89,0.96,fragile,high,29.0,29.5,34.0,corrugated,5.0,66.2,0.51,0.3,25.8,59.3,61.8,4,2023-04-20
128,38.88,11.36,19.62,5.93,food,low,46.0,15.0,24.0,heavy_duty_corrugated,7.3,73.9,0.56,0.35,19.8,59.0,56.4,3,2024-01-21
129,33.16,24.43,10.96,4.04,fragile,high,42.5,31.5,15.0,double_wall_corrugated,6.7,82.5,0.65,0.41,19.0,61.1,50.1,3,2023-06-13
130,18.02,12.45,2.99,2.13,books,low,22.0,16.0,5.5,standard_corrugated,3.4,47.6,0.19,0.1,20.4,52.1,57.4,4,2024-06-23
131,56.31,26.07,10.06,3.05,clothing,low,65.5,31.0,13.0,recycled_kraft,3.3,45.0,0.4,0.18,23.2,52.2,59.7,5,2023-08-03
132,45.99,27.97,21.19,2.49,toys,medium,55.0,34.5,26.5,standard_corrugated,3.3,45.0,0.53,0.27,14.2,48.4,43.7,4,2023-04-13
133,36.49,16.52,14.96,5.77,electronics,high,48.0,23.5,21.5,double_wall_corrugated,5.4,74.7,0.59,0.35,27.5,62.4,63.3,3,2024-02-08
134,20.79,16.66,24.61,3.6,fragile,medium,26.0,21.0,30.5,standard_corrugated,3.2,45.0,0.33,0.17,12.5,48.0,41.5,4,2023-06-14
135,22.43,21.12,5.44,2.69,books,low,26.0,24.5,7.5,standard_corrugated,4.3,53.9,0.25,0.14,19.7,53.6,52.4,4,2024-07-24
136,18.73,21.16,2.2,1.59,books,low,23.0,25.5,5.0,standard_corrugated,3.2,45.0,0.23,0.12,15.4,49.3,51.1,4,2023-02-13
137,28.87,12.06,20.73,2.07,fragile,high,36.5,16.5,27.0,double_wall_corrugated,5.3,80.6,0.5,0.29,12.9,58.5,43.1,3,2023-05-20
138,20.71,29.53,8.0,1.49,food,medium,26.0,36.0,11.5,food_grade_cardboard,2.9,45.0,0.29,0.15,22.4,52.0,57.3,3,2023-02-01
139,20.49,35.95,9.79,2.68,clothing,low,24.5,41.5,13.0,recycled_kraft,2.9,45.0,0.31,0.13,33.8,56.6,74.2,5,2023-09-06
140,13.81,32.53,16.67,2.6,food,medium,17.5,39.0,20.5,food_grade_cardboard,3.8,45.0,0.36,0.17,16.1,49.4,47.2,3,2024-06-26
141,34.6,37.18,9.17,0.53,toys,low,39.5,42.0,11.5,lightweight_cardboard,1.9,45.0,0.31,0.13,26.7,53.8,65.6,4,2024-06-13
142,26.97,10.76,23.38,4.8,food,low,33.5,15.0,29.5,heavy_duty_corrugated,6.6,75.6,0.51,0.31,13.6,57.2,43.7,3,2024-10-30
143,50.85,28.11,3.83,0.48,clothing,low,57.5,32.5,6.0,recycled_kraft,2.2,45.0,0.31,0.13,27.9,54.3,66.2,5,2024-02-17
144,37.39,18.53,5.49,5.49,electronics,high,48.0,25.0,9.0,double_wall_corrugated,5.5,73.4,0.47,0.28,12.1,56.0,45.1,3,2024-08-25
145,43.5,18.63,14.34,1.02,toys,medium,53.0,24.5,19.5,standard_corrugated,3.2,45.0,0.38,0.21,25.8,53.2,61.4,4,2024-06-15
146,31.05,11.17,20.33,3.71,electronics,medium,39.5,16.0,27.0,standard_corrugated,3.6,45.0,0.35,0.2,27.1,53.7,62.9,4,2024-11-01
147,25.2,32.84,11.93,2.42,food,medium,30.5,39.0,15.0,food_grade_cardboard,3.4,45.0,0.37,0.19,13.4,48.3,51.2,3,2023-01-31
148,25.55,5.99,23.08,1.46,electronics,high,33.0,9.5,30.0,corrugated,3.9,50.2,0.32,0.18,16.5,51.1,50.6,4,2024-11-28
149,21.41,32.7,12.25,3.76,food,medium,28.0,41.5,17.0,food_grade_cardboard,3.8,45.0,0.38,0.2,23.9,52.5,58.6,3,2024-01-26
150,14.81,21.91,24.51,2.98,food,medium,19.5,28.0,31.0,food_grade_cardboard,4.0,45.0,0.36,0.18,20.6,51.2,61.2,3,2023-08-12
151,13.41,39.9,20.07,2.42,toys,low,17.5,46.5,25.0,standard_corrugated,3.2,45.0,0.36,0.2,27.2,53.8,64.1,4,2024-05-17
152,15.25,27.96,14.1,1.19,fragile,low,19.0,33.0,17.5,standard_corrugated,3.0,45.0,0.27,0.14,18.2,50.4,58.8,4,2024-07-08
153,43.46,26.8,13.82,3.22,toys,medium,53.0,33.0,18.0,standard_corrugated,4.2,45.5,0.51,0.28,12.1,47.6,38.7,4,2024-05-23
154,27.63,20.82,21.79,0.76,toys,low,32.5,25.0,26.0,lightweight_cardboard,1.7,45.0,0.29,0.13,17.6,50.2,57.2,4,2023-02-18
155,16.13,21.3,3.63,2.36,books,low,20.5,26.0,6.5,standard_corrugated,3.5,46.7,0.22,0.12,24.0,53.2,60.4,4,2023-12-29
156,5.89,9.68,18.75,3.44,electronics,low,9.0,13.5,23.5,standard_corrugated,3.6,45.0,0.2,0.12,24.6,53.0,68.9,4,2024-12-10
157,15.78,23.44,10.39,0.76,fragile,high,20.5,29.5,14.0,corrugated,4.9,67.1,0.3,0.17,26.6,60.3,67.2,4,2024-12-03
158,32.19,21.13,24.42,4.91,fragile,high,41.0,27.5,31.5,double_wall_corrugated,6.3,72.7,0.79,0.51,15.7,56.6,40.2,3,2023-01-15
159,43.21,20.71,25.04,1.16,toys,low,50.5,26.0,30.5,standard_corrugated,3.1,45.0,0.49,0.23,23.8,52.3,64.5,4,2023-12-12
160,20.52,17.99,5.49,0.29,clothing,low,24.0,21.5,7.5,recycled_kraft,2.0,45.0,0.2,0.09,31.6,55.9,74.5,5,2024-04-12
161,28.57,27.01,23.21,4.92,food,medium,35.5,33.5,29.0,heavy_duty_corrugated,5.9,76.2,0.69,0.42,18.6,59.0,51.8,3,2024-05-07
162,34.52,16.2,12.97,1.42,clothing,medium,42.5,21.5,17.5,recycled_kraft,2.5,45.0,0.31,0.13,27.2,54.0,69.6,5,2023-08-27
163,20.26,13.83,23.87,4.61,electronics,medium,26.0,18.5,30.0,heavy_duty_corrugated,6.5,78.3,0.45,0.29,21.6,61.3,58.7,3,2024-10-27
164,42.63,49.49,8.65,1.1,clothing,low,48.5,56.0,11.0,recycled_kraft,3.3,45.0,0.49,0.2,26.4,53.5,64.0,5,2023-03-18
165,14.4,21.25,16.94,1.58,electronics,medium,18.5,26.5,21.5,standard_corrugated,3.5,45.0,0.29,0.15,15.1,49.1,54.0,4,2023-08-21
166,20.54,12.65,28.01,3.48,fragile,high,27.5,18.0,37.0,double_wall_corrugated,5.8,83.8,0.57,0.32,19.1,61.8,52.8,3,2024-03-21
167,46.57,11.77,22.3,1.22,toys,medium,55.5,15.5,28.0,standard_corrugated,3.5,45.0,0.42,0.23,18.8,50.3,49.4,4,2023-06-20
168,22.41,26.61,5.34,0.86,electronics,medium,29.0,33.5,9.0,standard_corrugated,3.0,45.0,0.27,0.14,24.0,52.7,58.9,4,2024-06-17
169,39.29,16.02,23.99,2.23,toys,medium,47.0,20.0,29.5,standard_corrugated,4.4,49.2,0.49,0.28,22.7,53.0,60.8,4,2023-09-30
170,19.66,16.49,14.42,0.38,electronics,medium,25.0,21.5,19.0,standard_corrugated,3.2,45.0,0.27,0.14,19.6,50.9,60.1,4,2023-01-25
